"";"amostra";"spp";"data";"latitude";"longitude";"tamanho_petala";"largura_petala";"tamanho_sepala";"largura_sepala"
"101";"A59";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.4";"2.9";"4.3"
"102";"A66";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"5.7";"3";"4.2"
"103";"A97";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"5.5";"2.6";"4.4"
"104";"A9";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.5";"2.3";"1.3"
"105";"A102";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"6.5";"3";"5.8"
"107";"A56";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.7";"3.1";"4.4"
"108";"A116";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"6.3";"2.5";"5"
"109";"A53";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.3";"3.3";"4.7"
"110";"A5";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.7";"3.2";"1.6"
"111";"A85";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"6.5";"2.8";"4.6"
"114";"A108";"1929_12_01";NA;"Site2";"48.935.966";"IRIS_VIRGINICA";"7.7";"2.8";"6.7"
"115";"A111";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"7.9";"3.8";"6.4"
"116";"A144";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"7.2";"3";"5.8"
"118";"A145";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"6.4";"2.8";"5.6"
"119";"A8";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.4";"3";"1.3"
"120";"A7";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"5";"3.2";"1.2"
"121";"A88";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"6.1";"2.9";"4.7"
"122";"A57";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.2";"2.2";"4.5"
"123";"A138";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"6.4";"2.7";"5.3"
"125";"A44";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_SETOSA";"5.3";"3.7";"1.5"
"106";"A122";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.8";"3";"5.5"
"112";"A75";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VERSICOLOR";"6.1";"2.8";"4.7"
"113";"A119";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.3";"2.9";"5.6"
"117";"A127";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.1";"3";"4.9"
"124";"A79";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VERSICOLOR";"6";"3.4";"4.5"
"81";"A15";"iris_setosa";1929-12-01;"48935966";"-64840984";"5.8";"4";"1.2";"0.2"
"82";"A25";"iris_setosa";1929-12-01;"48329837";"-65512333";"4.8";"3.4";"1.9";"0.2"
"83";"A26";"iris_setosa";1930-02-13;"48540502";"-64766512";"5";"3";"1.6";"0.2"
"84";"A3";"iris_setosa";1929-12-01;"48935966";"-64840984";"4.7";"3.2";"1.3";"0.2"
"85";"A32";"iris_setosa";1930-02-13;"48540502";"-64766512";"5.4";"3.4";"1.5";"0.4"
"86";"A41";"iris_setosa";1930-02-13;"48540502";"-64766512";"5";"3.5";"1.3";"0.3"
"87";"A47";"iris_setosa";1930-02-13;"48540502";"-64766512";"5.1";"3.8";"1.6";"0.2"
"1";"A21";"Iris_setosa";1929-12-01;"48935966";"-64840984";"1.7";"0.2";"5.4";"3.4"
"2";"A24";"Iris_setosa";1929-12-01;"48935966";"-64840984";"1.7";"0.5";"5.1";"3.3"
"3";"A33";"Iris_setosa";1929-12-01;"48935966";"-64840984";"1.5";"0.1";"5.2";"4.1"
"4";"A29";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.4";"0.2";"5.1";"3.4"
"5";"A35";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.5";"0.2";"4.9";"3.1"
"6";"A5";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.4";"0.2";"5";"3.6"
"7";"A14";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.1";"0.1";"4.3";"3"
"8";"A37";"Iris_setosa";1929-12-01;"48329837";"-65512333";"1.3";"0.2";"5.5";"3.5"
"9";"A10";"Iris_setosa";1929-12-01;"48329837";"-65512333";"1.5";"0.1";"4.9";"3.1"
"26";"A59";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.4";"2.9";"4.3"
"27";"A66";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"5.7";"3";"4.2"
"42";"A127";"Iris_setosa";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.1";"3";"4.9"
"43";"A145";"Iris_setosa";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"6.4";"2.8";"5.6"
"44";"A8";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.4";"3";"1.3"
"45";"A7";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_SETOSA";"5";"3.2";"1.2"
"54";"A13";"Iris_setosa";1929-12-01;"48329837";"-65512333";"4.8";"3";"1.4";"0.1"
"60";"A16";"Iris_setosa";1929-12-01;"48329837";"-65512333";"5.7";"4.4";"1.5";"0.4"
"61";"A28";"Iris_setosa";1929-12-01;"48329837";"-65512333";"5.2";"3.5";"1.5";"0.2"
"62";"A4";"Iris_setosa";1929-12-01;"48329837";"-65512333";"4.6";"3.1";"1.5";"0.2"
"63";"A48";"Iris_setosa";1929-12-01;"48935966";"-64840984";"4.6";"3.2";"1.4";"0.2"
"76";"A100";"iris_versicolor";1929-12-01;"48329837";"-65512333";"5.7";"2.8";"4.1";"1.3"
"88";"A54";"iris_versicolor";1929-12-01;"48935966";"-64840984";"5.5";"2.3";"4";"1.3"
"89";"A58";"iris_versicolor";1929-12-01;"48329837";"-65512333";"4.9";"2.4";"3.3";"1"
"90";"A62";"iris_versicolor";1930-02-13;"48540502";"-64766512";"5.9";"3";"4.2";"1.5"
"91";"A70";"iris_versicolor";1929-12-01;"48329837";"-65512333";"5.6";"2.5";"3.9";"1.1"
"92";"A71";"iris_versicolor";1930-02-13;"48540502";"-64766512";"5.9";"3.2";"4.8";"1.8"
"93";"A76";"iris_versicolor";1929-12-01;"48329837";"-65512333";"6.6";"3";"4.4";"1.4"
"94";"A79";"iris_versicolor";1929-12-01;"49329837";"-65512333";"6";"2.9";"4.5";"1.5"
"95";"A81";"iris_versicolor";1929-12-01;"48935966";"-64840984";"5.5";"2.4";"3.8";"1.1"
"96";"A82";"iris_versicolor";1929-12-01;"48329837";"-65512333";"5.5";"2.4";"3.7";"1"
