"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",153.26693,-30.205483,NA,"Paracanthurus hepatus"
"gbif",153.462608,-27.532258,NA,"Paracanthurus hepatus"
"gbif",127.312722,-8.413278,NA,"Paracanthurus hepatus"
"gbif",145.9,-16.7,NA,"Paracanthurus hepatus"
"gbif",153.27135,-30.01784,NA,"Paracanthurus hepatus"
"gbif",39.382869,-5.815955,NA,"Paracanthurus hepatus"
"gbif",73.615329,3.441135,NA,"Paracanthurus hepatus"
"gbif",166.441805,-22.492167,NA,"Paracanthurus hepatus"
"gbif",39.302137,-4.696106,NA,"Paracanthurus hepatus"
"gbif",134.325512,7.208062,NA,"Paracanthurus hepatus"
"gbif",130.512526,-1.98598,NA,"Paracanthurus hepatus"
"gbif",151.301663,-33.800169,NA,"Paracanthurus hepatus"
"gbif",153.265046,-30.202839,NA,"Paracanthurus hepatus"
"gbif",153.566667,-27.4,NA,"Paracanthurus hepatus"
"gbif",55.859056,-4.289271,NA,"Paracanthurus hepatus"
"gbif",179.107382,-17.071277,NA,"Paracanthurus hepatus"
"gbif",179.103867,-17.075208,NA,"Paracanthurus hepatus"
"gbif",153.505134,-27.465857,NA,"Paracanthurus hepatus"
"gbif",144.706077,13.477716,NA,"Paracanthurus hepatus"
"gbif",144.70552,13.480037,NA,"Paracanthurus hepatus"
"gbif",118.86434,4.595825,NA,"Paracanthurus hepatus"
"gbif",118.633323,4.121438,NA,"Paracanthurus hepatus"
"gbif",123.894845,-5.775973,NA,"Paracanthurus hepatus"
"gbif",105.666922,-10.429189,NA,"Paracanthurus hepatus"
"gbif",145.4,-14.55,NA,"Paracanthurus hepatus"
"gbif",177.134432,-17.745759,NA,"Paracanthurus hepatus"
"gbif",153.462608,-27.531884,NA,"Paracanthurus hepatus"
"gbif",123.887528,-5.771697,NA,"Paracanthurus hepatus"
"gbif",39.388881,-5.82194,NA,"Paracanthurus hepatus"
"gbif",39.383505,-5.820498,NA,"Paracanthurus hepatus"
"gbif",125.923379,-7.6702,NA,"Paracanthurus hepatus"
